uke2_1_neu,uke2_2_neu,uke2_3_neu,recoded_uke2_4_neu,uke2_5_neu,recoded_uke2_6_neu,uke2_7_neu,recoded_uke2_8_neu,uke2_9_neu,age_group,q1,educ_rec,Parties,weight
1,2,1,1,4,1,2,1,1,2,2,2,NA,1.1597445054591022
4,4,4,4,4,3,4,4,4,1,2,3,NA,1.0168173667657046
3,3,3,2,3,2,3,2,3,2,2,3,5,1.0201705830222572
3,3,2,4,4,3,3,2,3,3,1,3,NA,0.8494926479826503
3,3,3,2,3,2,3,2,3,5,1,1,4,0.6366077359862655
2,3,1,3,NA,1,3,1,1,4,2,3,5,0.8157551961859731
2,4,1,3,1,1,4,1,1,3,2,3,NA,0.833703081207681
4,4,4,4,3,3,4,1,4,6,1,3,1,0.8643209526859904
1,4,2,3,4,1,3,1,3,6,1,3,3,0.8176405431145463
1,3,1,2,3,1,3,1,1,6,2,2,NA,1.6414887265110154
3,4,3,4,4,2,4,1,3,5,2,2,6,0.753303539783983
4,4,4,4,4,3,4,NA,4,4,1,3,5,0.9166302720801696
2,3,3,4,2,2,4,1,3,3,2,3,1,1.0193182177936262
3,4,3,4,4,3,4,2,4,4,2,2,5,1.8150499048041446
3,3,4,1,2,2,3,2,4,2,1,2,2,2.048401763451525
2,3,2,3,2,2,3,2,3,5,2,1,5,0.8140539734438302
3,3,3,2,NA,2,NA,NA,NA,3,1,2,1,0.9308999870911115
1,1,1,4,1,1,1,1,1,6,1,3,3,1.2680157327743251
1,2,1,NA,1,1,1,1,1,4,1,3,NA,1.3372640281914387
2,3,2,4,4,1,3,1,3,6,2,2,5,0.7451836923138424
2,4,4,4,3,1,4,3,3,5,2,1,1,1.1387002319281894
3,4,2,1,3,2,4,4,2,2,1,3,6,0.9159895347033467
4,4,2,3,4,2,4,3,4,5,2,1,2,1.0323494844431922
3,3,3,4,4,1,4,2,3,1,1,2,1,1.374138019635564
1,2,1,NA,1,1,2,1,1,4,1,2,4,1.2629445420174725
NA,3,NA,4,3,2,3,2,3,6,2,2,1,0.8972929014817
4,2,2,2,3,1,2,3,1,2,2,3,2,1.6210729551571355
3,4,3,3,4,NA,3,2,4,4,2,1,2,0.7386589925327847
2,NA,2,NA,NA,1,NA,1,NA,3,2,1,NA,0.8966223718466314
4,4,4,1,4,1,4,1,4,2,1,3,2,0.9729092734028938
4,4,4,4,4,2,4,1,4,3,1,3,2,0.8336070913962896
1,4,1,1,1,1,1,1,1,4,1,3,NA,1.536254768905437
3,3,2,3,3,2,3,NA,NA,5,1,1,NA,0.8784022544653978
1,1,1,4,1,1,1,1,1,2,1,3,NA,1.0161046003754561
1,3,2,3,3,1,3,1,3,6,2,1,1,0.659542441939173
2,3,1,3,3,1,3,1,2,4,1,2,1,0.6374141304991037
3,4,3,4,4,2,4,2,4,6,2,3,1,0.8224900105355836
4,4,4,3,4,3,4,1,4,3,2,3,1,0.9842437603247624
3,4,3,4,4,2,4,NA,4,3,2,3,5,0.7342800755483525
3,3,3,2,3,2,3,2,3,3,1,2,1,1.8373920147124347
3,4,3,4,4,2,4,1,4,6,2,1,NA,0.7861226589700224
4,4,2,3,4,3,4,2,4,4,1,2,1,1.6214680606875538
4,4,4,4,4,3,4,3,3,6,2,2,1,0.8972929014817
2,4,2,3,3,1,3,1,3,2,2,3,2,1.1295241452650577
1,2,1,NA,1,1,NA,1,1,2,1,2,4,1.0429274465144236
4,4,3,4,3,3,4,1,3,6,2,2,1,0.8972929014817
3,4,4,4,4,3,4,2,4,6,2,3,2,1.2041819098482245
4,4,4,4,4,3,4,2,4,2,1,3,3,1.369870738613985
2,3,2,3,2,2,3,3,3,4,2,2,2,1.8863258496017865
4,4,3,4,4,2,NA,2,NA,3,1,2,3,0.810352275435899
2,3,1,4,4,1,3,1,2,1,2,3,NA,1.2820192977071456
1,1,NA,NA,1,1,1,1,1,1,1,2,4,0.7891349403578611
4,4,4,4,4,3,4,3,4,6,2,2,1,0.8477464610047225
3,3,3,3,4,1,4,3,3,3,1,3,NA,1.3603836006119499
4,4,4,4,4,4,4,4,4,6,2,2,2,0.6293196420002154
1,NA,NA,NA,1,1,NA,NA,NA,2,2,1,NA,0.927827352816653
1,1,1,1,1,1,1,1,1,2,1,1,NA,0.7537830176334757
4,4,4,4,4,3,4,4,4,2,1,2,NA,1.2189187424207506
3,4,3,3,4,2,4,1,3,6,2,1,1,0.888190489616438
1,1,1,1,1,1,1,1,1,2,2,2,NA,0.9863925306822948
4,3,4,2,4,2,3,1,3,3,2,2,2,0.8556243822363182
3,4,4,4,4,2,4,NA,3,2,2,2,NA,1.3619283336231818
4,4,4,4,4,3,4,2,4,2,2,3,2,1.264443038978657
3,4,3,3,4,2,4,1,4,6,1,3,5,0.9073460336660413
2,NA,1,NA,NA,1,3,3,NA,1,1,1,NA,1.8026160602245493
NA,3,3,3,3,2,3,2,NA,2,1,2,NA,0.8720536607007295
3,4,NA,4,4,3,4,2,NA,2,2,3,2,1.264443038978657
3,4,4,4,4,3,4,2,3,6,1,1,1,0.8349308806007019
4,4,4,4,4,4,4,3,4,3,1,3,3,1.084012162551015
2,3,3,4,3,3,3,3,3,2,2,2,3,1.0162993765073574
2,3,3,3,3,2,3,1,3,4,1,1,1,0.9854915579512378
4,4,4,3,2,1,3,NA,NA,1,1,3,NA,1.106650537310947
2,3,1,3,3,1,3,2,3,4,1,1,4,0.8411589048197661
4,4,4,2,NA,2,4,1,4,2,2,3,4,0.8636239103579786
2,3,4,NA,NA,2,NA,NA,3,1,1,3,5,1.0869557038913746
3,1,4,2,4,2,4,3,4,1,1,3,NA,1.106650537310947
3,4,2,1,4,1,NA,2,4,1,1,3,1,0.7810956349744437
2,NA,2,3,3,3,NA,NA,2,1,2,1,NA,1.3654699112673958
1,2,1,4,1,1,2,1,2,5,2,3,NA,1.1917292886402302
1,1,1,4,1,1,3,NA,4,3,2,1,NA,1.05419783390043
2,3,2,NA,2,1,2,3,3,4,2,3,1,1.2497578197974462
2,2,1,2,1,1,1,1,1,3,1,3,NA,0.950962464953017
4,4,4,4,4,3,4,4,4,5,2,2,1,0.6440946412896666
3,4,3,4,4,4,4,NA,4,5,1,1,6,0.8110058518277908
1,2,1,4,1,1,1,4,2,2,2,2,1,1.5820727394187697
NA,3,3,3,3,NA,3,3,3,1,1,3,1,0.7810956349744437
4,4,4,3,4,1,4,3,4,1,2,3,1,0.6734183728598467
1,4,4,4,4,1,4,1,NA,5,1,3,4,0.9333847495192747
2,3,1,2,1,1,2,1,1,4,1,1,3,1.0735916830641732
2,3,2,3,3,2,3,2,3,4,2,3,2,1.4734925067729696
2,4,2,4,2,3,4,2,NA,3,2,3,NA,1.0548755270397954
1,3,3,NA,3,2,3,3,2,2,2,2,NA,0.9863925306822948
3,3,3,2,3,2,3,2,3,3,2,3,3,1.0261561229249
4,1,4,4,2,1,1,1,4,4,1,1,1,0.8381859170169088
3,4,3,4,4,2,4,NA,3,3,2,3,NA,0.9474642974131127
1,1,1,3,1,1,1,2,1,2,2,2,NA,0.9668068886967935
4,4,4,4,4,1,4,3,4,3,2,2,NA,0.9501338614466369
3,4,4,2,4,NA,2,3,4,1,2,1,NA,1.0011512447777284
NA,4,NA,4,4,4,4,2,3,5,2,2,4,1.4758597965525413
3,3,1,3,3,1,4,1,3,5,2,3,1,1.8690184679458046
3,4,4,4,4,2,3,NA,4,4,2,2,3,1.0425365781271367
3,3,3,3,3,2,3,3,3,4,1,3,3,0.9143800531712548
3,4,3,4,4,3,4,3,4,1,1,3,3,1.1459187132638853
4,4,4,4,4,1,3,1,4,6,1,3,6,1.3045403094471855
3,3,3,3,3,3,3,3,3,4,1,3,3,0.9711721448536567
4,4,2,4,4,3,4,1,2,3,2,2,2,1.1226867664652096
4,4,4,4,4,3,4,3,4,5,2,3,1,0.9894417959617923
4,3,2,3,4,1,4,2,3,1,1,3,3,1.1459187132638853
2,3,1,4,4,1,2,1,NA,4,2,2,1,1.5688264912610375
4,4,4,4,3,3,4,2,4,5,2,1,1,0.888190489616438
1,NA,1,NA,1,1,NA,2,NA,3,2,3,NA,0.8852509012406863
1,2,1,1,1,1,1,NA,NA,3,2,2,NA,0.9501338614466369
3,4,4,4,4,2,4,1,4,5,2,3,3,0.9227613056792469
4,4,3,4,1,2,4,NA,4,6,2,1,1,1.1387002319281894
3,4,3,4,4,1,4,2,3,5,1,2,1,1.2049702981356167
3,4,3,3,3,3,4,3,3,4,1,3,1,0.7799962974408656
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,1.0163155916307007
3,4,4,4,4,3,4,1,4,5,2,3,1,0.8224900105355836
3,4,3,4,4,2,4,NA,3,4,2,2,NA,0.8074430776101063
1,3,1,3,NA,1,3,1,2,5,2,3,6,0.8461618060763533
3,4,1,4,2,2,3,1,3,5,2,2,5,0.8223966146153646
3,4,3,3,3,3,3,3,3,1,1,2,6,0.8345282344126396
3,3,3,4,3,1,3,1,NA,4,1,1,1,0.8381859170169088
3,3,3,4,3,3,4,2,4,3,1,2,3,1.2057644609044251
4,4,3,4,4,4,4,4,4,4,1,1,2,1.5652069889591023
2,3,1,3,2,1,3,1,1,2,2,3,NA,1.2020716610990172
3,4,4,4,4,4,4,1,NA,6,2,2,2,0.8474901468205484
1,1,1,4,1,1,1,1,1,4,1,3,4,0.8423221101494008
NA,3,2,NA,4,2,3,1,2,5,2,2,1,0.8185757401524542
4,3,1,3,2,2,4,2,3,1,1,3,1,0.8452531273790628
3,3,3,3,3,3,3,3,3,6,2,2,3,1.2206818431374626
NA,4,1,2,3,3,4,2,4,1,1,3,1,0.8161682014460674
4,4,3,4,4,2,4,3,4,4,2,NA,1,0.5677009381271302
3,3,2,4,4,2,4,1,4,4,2,2,6,0.9188920053377609
4,4,4,4,4,3,4,2,4,5,1,1,1,0.8349308806007019
3,3,4,2,3,3,4,1,3,2,1,3,1,0.7477354405847746
1,2,2,NA,1,1,2,2,NA,6,1,2,1,1.24791055458109
3,4,4,4,4,1,4,2,3,3,1,2,3,0.9071468707337736
3,3,3,NA,3,1,3,1,NA,3,2,2,2,0.9548739705378091
2,4,NA,3,3,3,4,1,NA,6,1,1,4,0.9333261784832391
3,3,3,3,3,1,3,1,3,3,2,1,4,0.5244527982243086
4,3,4,1,3,2,3,2,3,2,1,2,6,1.1508495070937266
4,4,4,4,4,3,4,NA,4,6,2,3,6,1.6285816669975328
3,4,3,4,4,2,4,1,4,3,2,2,NA,0.9428227671064593
